Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.151586,53.058436,30.298748
0.185536,41.469568,34.266446
0.165403,42.688576,29.747668
0.131059,39.663162,29.551079
0.146454,39.699085,30.238745
0.164219,39.757114,37.058953
0.153165,43.174917,32.947169
0.144876,42.236975,30.907067
0.123559,39.989231,32.302137
0.163824,40.938620,35.233205
0.127901,40.560838,29.977021
0.178035,39.463415,29.884648
0.167377,39.172085,42.247633
0.123954,40.508336,39.059184
0.155140,44.510772,31.246558
0.125927,39.393938,29.832935
0.185535,42.041176,35.008588
0.146060,45.485426,30.280194
0.125927,40.016864,30.159004
0.136980,39.386438,38.456786
0.126717,39.638687,30.309012
0.153166,39.861725,48.457943
0.163824,40.411621,35.927187
0.128295,39.618554,30.392305
0.157903,45.314891,31.123789
0.143691,44.728678,29.464627
0.158692,53.430296,31.964225
0.169350,41.984330,31.139579
0.125927,42.073546,29.562527
0.135401,39.566841,29.613450
0.157113,39.334725,31.093787
0.168166,39.489864,29.325673
0.144876,52.892243,30.122687
0.155139,53.072646,30.838380
0.170534,63.754364,30.015313
0.126717,49.886172,30.306248
0.153955,40.286482,31.158922
0.163824,59.151108,29.922545
0.155928,39.436572,47.922258
0.173298,41.511412,46.981158
0.127112,42.028938,29.413704
0.276724,53.539249,64.239520
0.169745,74.365024,29.866489
0.125138,39.727507,31.074839
0.135402,44.868027,34.741338
0.124349,39.337093,29.663190
0.155929,39.519865,35.984032
0.177640,45.277389,32.814926
0.125533,41.816559,29.848331
0.133033,43.110176,30.734954
0.124743,48.430310,32.795978
0.165798,39.603949,29.550684
0.146060,39.783168,30.048867
0.127507,39.464995,31.435252
0.135007,51.714684,34.273946
0.133033,42.524357,29.630425
0.153955,41.378774,29.752010
0.231327,50.539099,29.421993
0.124348,61.328980,29.352121
0.135797,49.516679,30.829695
0.127506,43.200180,31.333405
0.154745,39.628423,45.786230
0.154350,39.605133,35.060696
0.123164,41.012835,32.017912
0.170535,49.062710,29.413309
0.136586,42.799503,39.972651
0.155140,43.947454,31.108788
0.306331,39.675005,32.222791
0.125533,43.201365,29.756352
0.137375,50.064602,30.823379
0.136191,65.753411,29.928861
0.161455,39.540392,33.057306
0.166587,44.776443,29.836883
0.124743,39.862120,29.702666
0.133427,49.274299,35.374527
0.156324,56.811780,29.868858
0.126322,39.448414,57.077847
0.133427,47.772250,29.452784
0.107374,40.092263,29.650557
0.105794,42.558702,29.631215
0.106190,39.543156,29.562527
0.131059,60.240241,33.424430
0.171719,40.072130,29.842804
