Collection name: Map,number of operations: 10000,unit: ms
Add time, Find time, Remove time
1.455862,0.003158,0.521473
1.208744,0.003553,0.682929
1.402175,0.003947,0.666744
1.151505,0.003158,0.401073
3.092918,0.003158,0.885834
1.149926,0.003158,0.537264
1.278221,0.003158,1.297170
1.759430,0.003158,0.737405
1.295985,0.003158,0.990839
0.918993,0.003158,0.386072
0.744116,0.003158,0.531342
1.623634,0.003947,0.912677
1.358752,0.003158,0.500551
0.684508,0.003158,0.618583
0.891361,0.003553,0.548712
0.893334,0.003158,0.574370
1.494548,0.003158,0.776881
1.396254,0.003159,0.619373
1.323618,0.003553,1.013340
0.796618,0.003158,0.439759
0.885834,0.003158,0.493841
1.991546,0.003947,0.750432
1.339803,0.003947,0.520684
0.738984,0.003158,0.717273
1.061895,0.003553,0.515157
0.858200,0.003158,1.123082
1.368226,0.003158,0.440943
0.884649,0.004342,0.584239
0.901229,0.003158,1.159795
1.103740,0.003158,0.453970
0.864911,0.003158,0.372650
1.903516,0.004342,0.743326
0.874385,0.003158,0.550291
0.713325,0.003158,1.661136
1.138083,0.003947,0.608714
1.299933,0.003158,0.393178
1.705348,0.004343,1.232825
0.956101,0.003158,0.711352
3.015150,0.003158,1.078475
0.959258,0.003158,0.535290
2.732900,0.003553,0.845174
2.211821,0.003947,1.076896
1.260852,0.003158,0.625294
0.735826,0.003158,0.570423
0.921756,0.003158,2.072077
1.433756,0.003947,0.738194
2.245770,0.003158,0.455154
2.418278,0.003158,0.907940
1.069791,0.003947,0.545159
1.345330,0.003158,0.923335
1.447966,0.003158,0.791881
0.926099,0.006316,0.416074
0.897282,0.003158,0.549895
0.993207,0.003158,0.503314
1.274669,0.003158,1.273880
1.601527,0.003158,0.958469
0.888991,0.003158,0.400283
0.962811,0.003947,0.629241
0.958864,0.003158,0.497393
1.950097,0.004342,0.780433
0.884255,0.003947,0.567660
0.855437,0.004342,0.985312
0.997550,0.003158,0.446469
1.042552,0.003158,0.377387
1.528892,0.004342,1.006629
0.928072,0.003552,0.456339
2.533153,0.003553,0.766223
0.881097,0.003158,0.534895
0.940705,0.003158,2.007336
2.004573,0.004737,0.794250
0.894124,0.003553,2.546180
0.984523,0.002763,1.382437
1.240325,0.003553,0.942284
1.245457,0.003553,0.665560
1.284143,0.003158,0.433838
1.708901,0.003158,1.000708
1.142031,0.003158,0.573186
1.753114,0.003158,0.895308
1.115582,0.003158,0.381730
1.439677,0.003947,0.840831
1.092686,0.003947,0.656086
0.914650,0.003158,1.043342
1.333883,0.003158,0.561739
2.179846,0.004342,0.686876
0.998340,0.004342,0.461865
0.712141,0.003948,0.946626
0.971890,0.003158,0.684507
2.168398,0.003158,0.695956
1.532050,0.003158,0.595687
0.739774,0.003158,0.351728
1.372569,0.004342,0.898860
1.142425,0.003947,0.847147
1.710874,0.003553,0.903598
0.935968,0.003948,0.459102
1.410860,0.004342,0.913467
1.447572,0.003947,0.832937
2.948436,0.003553,0.862149
1.380069,0.003158,0.477260
1.114003,0.003553,0.984523
1.001892,0.003948,0.712535
1.027946,0.003553,0.917019
1.162163,0.003948,0.438575
1.502049,0.003158,1.327961
0.995181,0.003158,0.739379
0.933599,0.003158,1.859303
1.658766,0.003553,0.639505
1.071764,0.002763,0.534896
1.444809,0.003158,0.533316
0.973470,0.003552,0.398704
0.833725,0.003158,1.100976
1.144794,0.003948,0.604767
1.836013,0.003158,0.626084
0.783592,0.003158,0.752801
1.147557,0.003553,0.504499
1.148741,0.003553,0.406994
1.280590,0.003158,1.055974
1.210323,0.003158,0.540422
0.957284,0.003948,0.449233
1.069395,0.003947,1.060316
1.032683,0.003158,0.355281
1.379674,0.003158,0.672665
0.962416,0.003158,0.843989
0.851095,0.003552,0.423574
0.982549,0.005132,0.654901
1.117161,0.003553,0.465023
1.396648,0.002763,0.710561
0.869649,0.003552,0.506078
1.662714,0.003158,0.809645
1.359147,0.003553,0.431864
1.285722,0.003158,0.822673
0.733063,0.003158,0.824646
0.953732,0.003553,0.515947
0.973075,0.003553,0.729510
1.379279,0.003158,0.542395
1.492574,0.003553,0.606741
0.893729,0.003158,0.776091
0.712930,0.003553,0.545948
1.146768,0.003158,0.438180
1.163347,0.003158,0.369492
0.806487,0.003552,1.538761
0.890176,0.003552,0.705035
1.382438,0.003158,0.369097
2.873432,0.007105,0.932809
0.848727,0.003553,0.412125
1.942992,0.003552,0.876360
1.324408,0.003158,0.732668
1.200455,0.003158,0.791092
0.798198,0.003158,0.376598
0.697535,0.003158,0.391993
0.821489,0.003158,0.528579
1.251378,0.003158,0.492656
1.593238,0.003948,0.754380
0.772143,0.003158,0.466997
0.882281,0.003947,1.817853
1.301118,0.003158,0.709772
1.116766,0.003158,0.396335
1.092292,0.003158,0.408573
0.694377,0.003158,0.460681
1.333488,0.003553,1.410465
1.182690,0.002764,0.382519
0.862149,0.003159,0.583845
0.711746,0.003158,0.537658
0.961627,0.003158,0.650164
0.883070,0.003158,0.366729
1.959177,0.003158,0.813198
0.729905,0.003553,1.040973
1.021630,0.003553,0.518316
1.271116,0.003553,0.645032
1.245457,0.003158,0.395940
1.981283,0.003158,0.978601
0.722010,0.003158,1.000708
1.044132,0.003158,0.380545
1.965888,0.003158,0.551475
0.701482,0.003158,0.401073
1.161768,0.010264,1.866803
0.757143,0.003158,0.838068
0.989260,0.003158,0.397915
1.958782,0.003553,0.946231
0.871622,0.003158,0.497788
1.038210,0.003947,1.575079
1.157426,0.003158,0.980181
1.183085,0.003158,0.387651
2.132475,0.003553,0.503315
0.709378,0.003158,0.480419
0.938336,0.003552,0.836094
1.939044,0.003158,0.444891
0.883070,0.003158,0.652533
0.710562,0.003158,0.583844
1.004655,0.003159,0.506867
1.076501,0.003158,0.423179
1.237167,0.002763,1.988783
0.738195,0.003158,0.733852
0.921756,0.003158,0.367519
1.622054,0.003553,1.396254
1.159400,0.003158,0.370676
0.767407,0.003158,0.827015
