Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.881492,0.010264,0.459891
1.028735,0.011448,0.718062
0.892940,0.011448,0.455154
0.895703,0.023686,0.486735
1.599554,0.029212,1.502048
1.586132,0.020528,0.523842
0.877544,0.010658,0.985707
1.796932,0.015396,0.603977
1.628766,0.024080,0.976628
1.658767,0.023291,0.899255
2.295509,0.023685,0.770960
1.301117,0.020922,0.731089
1.484285,0.018948,1.946149
1.146373,0.010658,0.462655
0.885439,0.011053,0.543974
0.965969,0.010659,0.515157
1.077291,0.011053,0.460681
0.890176,0.011053,0.578318
0.896493,0.010659,0.446075
0.946626,0.010658,0.514762
0.967548,0.011054,1.026367
0.889782,0.010659,0.450418
0.880307,0.011053,0.449232
0.997945,0.024474,0.661612
0.918203,0.010658,0.451601
0.886229,0.014606,0.449628
1.140846,0.010658,0.459102
0.873991,0.011448,0.453181
1.505601,0.023685,0.501736
0.915045,0.010659,0.458313
0.894123,0.023685,0.723194
0.929652,0.011054,0.713720
1.151505,0.023291,0.886228
0.911888,0.011053,0.464234
2.175503,0.018948,1.012551
1.641398,0.023686,1.171637
0.992023,0.011053,0.748853
1.585342,0.023686,0.485156
1.689952,0.025264,1.256116
1.894042,0.023291,0.741748
1.351646,0.024080,2.227611
1.064659,0.010659,0.588187
0.914256,0.024080,1.029920
1.568368,0.023685,0.496209
1.650872,0.010658,1.367832
1.861672,0.024080,0.804514
1.552183,0.023290,0.922151
1.742060,0.023291,0.882281
1.671794,0.023686,2.163266
1.335461,0.023291,0.806883
1.567973,0.021711,1.248220
1.739692,0.010658,0.721615
0.970706,0.018554,0.855437
0.964390,0.021712,0.817541
0.914651,0.010658,0.578318
1.714822,0.023291,0.549501
1.513102,0.023290,0.703061
1.699427,0.023685,0.792276
1.001103,0.010659,0.455549
1.506391,0.026449,0.459497
1.457047,0.021712,1.078080
4.032043,0.014211,1.145189
2.811061,0.018553,1.667057
2.096947,0.016185,1.372173
1.386385,0.023685,1.014919
2.704872,0.050923,3.332534
1.066632,0.026448,0.727536
1.076106,0.023685,0.819909
1.694295,0.041055,1.260062
2.234322,0.023686,1.424282
1.976151,0.017764,0.532526
1.747588,0.044608,1.097818
2.059839,0.020527,1.137688
1.438493,0.023685,0.765433
1.190981,0.010658,0.656874
1.070974,0.025659,1.574683
1.917333,0.023685,0.803724
2.116290,0.023685,0.950574
1.572315,0.023291,1.359542
2.156160,0.020922,2.845010
1.224930,0.019343,0.788724
1.768509,0.031975,0.641480
1.944571,0.071056,0.961627
0.912282,0.010659,0.478839
1.178743,0.018158,1.182691
0.919783,0.010658,0.462655
1.346909,0.010659,0.618583
0.898071,0.020922,0.469365
0.884650,0.015396,0.872807
1.647319,0.024475,0.847543
1.580605,0.018159,0.461470
0.916625,0.023686,0.732273
1.009393,0.010658,0.470155
0.879912,0.010658,0.465418
0.886623,0.011053,0.864517
1.265195,0.015790,0.758722
0.908729,0.010659,0.477260
0.931625,0.010658,0.489893
0.902809,0.010658,0.475682
0.893728,0.010263,0.453180
0.877149,0.010658,0.993602
0.922941,0.010659,0.459497
0.876755,0.010264,0.450812
0.911887,0.016975,0.560949
1.001892,0.011053,0.642663
1.543893,0.010658,0.455549
1.009392,0.015396,0.667534
